trial,word,list,assessment,identification
1,election,read,correct,identification
2,queen,distract,correct,rejection
3,stream,distract,correct,rejection
4,capital,distract,correct,rejection
5,amount,silent,correct,identification
6,glass,distract,correct,rejection
7,wagon,silent,false,rejection
8,vacation,distract,correct,rejection
9,judge,read,correct,identification
10,shoulder,read,correct,identification
11,quarrel,read,correct,identification
12,school,distract,false,identification
13,partner,distract,correct,rejection
14,beauty,distract,correct,rejection
15,debate,read,correct,identification
16,resort,distract,correct,rejection
17,afternoon,read,correct,identification
18,ocean,read,correct,identification
19,dinner,distract,false,identification
20,market,distract,false,identification
21,entrance,distract,correct,rejection
22,industry,distract,false,identification
23,garden,distract,correct,rejection
24,village,silent,correct,identification
25,century,silent,correct,identification
26,branch,silent,false,rejection
27,foundation,distract,false,identification
28,forest,silent,false,rejection
29,captain,read,false,rejection
30,account,read,correct,identification
31,machine,silent,false,rejection
32,traffic,silent,false,rejection
33,winter,distract,correct,rejection
34,clothes,distract,correct,rejection
35,direction,silent,false,rejection
36,merchant,distract,correct,rejection
37,laugh,distract,correct,rejection
38,invention,silent,false,rejection
39,kettle,distract,correct,rejection
40,ticket,read,correct,identification
Participant gender:['f']
