trial,word,list,assessment,identification
1,furniture,read,correct,identification
2,village,silent,correct,identification
3,winter,distract,correct,rejection
4,station,silent,correct,identification
5,kettle,distract,correct,rejection
6,branch,silent,false,rejection
7,pocket,silent,correct,identification
8,glass,distract,correct,rejection
9,factory,silent,correct,identification
10,election,read,correct,identification
11,vacation,distract,correct,rejection
12,industry,distract,correct,rejection
13,captain,read,correct,identification
14,stream,distract,correct,rejection
15,teacher,read,correct,identification
16,entrance,distract,correct,rejection
17,resort,distract,correct,rejection
18,capital,distract,correct,rejection
19,partner,distract,correct,rejection
20,market,distract,correct,rejection
21,machine,silent,false,rejection
22,merchant,distract,correct,rejection
23,queen,distract,correct,rejection
24,wagon,silent,false,rejection
25,ticket,read,correct,identification
26,dinner,distract,correct,rejection
27,traffic,silent,correct,identification
28,beauty,distract,correct,rejection
29,garden,distract,correct,rejection
30,address,read,correct,identification
31,century,silent,false,rejection
32,debate,read,correct,identification
33,theatre,silent,false,rejection
34,clothes,distract,false,identification
35,uniform,read,false,rejection
36,quarrel,read,correct,identification
37,trousers,read,correct,identification
38,laugh,distract,correct,rejection
39,school,distract,correct,rejection
40,foundation,distract,correct,rejection
Participant gender:['f']
