trial,word,list,assessment,identification
1,wagon,silent,correct,identification
2,answer,read,correct,identification
3,kettle,distract,correct,rejection
4,factory,silent,correct,identification
5,ocean,read,correct,identification
6,teacher,read,correct,identification
7,glass,distract,correct,rejection
8,industry,distract,correct,rejection
9,resort,distract,correct,rejection
10,uniform,read,correct,identification
11,judge,read,correct,identification
12,vacation,distract,correct,rejection
13,lesson,silent,false,rejection
14,afternoon,read,correct,identification
15,beauty,distract,correct,rejection
16,captain,read,correct,identification
17,account,read,correct,identification
18,market,distract,correct,rejection
19,education,silent,correct,identification
20,dinner,distract,correct,rejection
21,traffic,silent,correct,identification
22,debate,read,correct,identification
23,school,distract,false,identification
24,foundation,distract,correct,rejection
25,stream,distract,correct,rejection
26,clothes,distract,correct,rejection
27,forest,silent,correct,identification
28,laugh,distract,correct,rejection
29,partner,distract,correct,rejection
30,winter,distract,correct,rejection
31,leather,silent,correct,identification
32,station,silent,false,rejection
33,garden,distract,correct,rejection
34,queen,distract,correct,rejection
35,merchant,distract,correct,rejection
36,entrance,distract,correct,rejection
37,furniture,read,correct,identification
38,minute,silent,correct,identification
39,theatre,silent,false,rejection
40,capital,distract,correct,rejection
Participant gender:['r']
