trial,word,list,assessment,identification
1,beauty,distract,correct,rejection
2,pocket,silent,correct,identification
3,traffic,silent,correct,identification
4,merchant,distract,correct,rejection
5,trousers,read,correct,identification
6,capital,distract,correct,rejection
7,address,read,correct,identification
8,clothes,distract,correct,rejection
9,quarrel,read,correct,identification
10,answer,read,correct,identification
11,garden,distract,correct,rejection
12,wagon,silent,false,rejection
13,wheel,read,false,rejection
14,entrance,distract,correct,rejection
15,lesson,silent,correct,identification
16,dinner,distract,correct,rejection
17,record,silent,correct,identification
18,kettle,distract,correct,rejection
19,village,silent,correct,identification
20,amount,silent,correct,identification
21,winter,distract,false,identification
22,glass,distract,false,identification
23,resort,distract,correct,rejection
24,market,distract,false,identification
25,laugh,distract,correct,rejection
26,victory,read,correct,identification
27,afternoon,read,correct,identification
28,election,read,correct,identification
29,stream,distract,correct,rejection
30,queen,distract,correct,rejection
31,foundation,distract,false,identification
32,school,distract,correct,rejection
33,education,silent,correct,identification
34,partner,distract,false,identification
35,furniture,read,correct,identification
36,direction,silent,correct,identification
37,factory,silent,correct,identification
38,vacation,distract,correct,rejection
39,industry,distract,correct,rejection
40,package,read,correct,identification
Participant gender:['f']
